# t                       norm_latt	                t                  norm_cont
   4.87500000000000       1.935630823399390E-003	4.875    0.0019594099862454598736   
   4.90625000000000       1.930887215665998E-003	4.90625    0.0019544779725264520895   
   4.93750000000000       1.926127911040687E-003	4.9375    0.0019495303597141816828   
   4.96875000000000       1.921353292069878E-003	4.96875    0.0019445675267442953994   
   5.00000000000000       1.916563738989855E-003	5.    0.0019395898515100233996   
   5.03125000000000       1.911759629647742E-003	5.03125    0.0019345977107165463645   
   5.06250000000000       1.906941339425371E-003	5.0625    0.0019295914797397411731   
   5.09375000000000       1.902109241166190E-003	5.09375    0.0019245715324893458482   
   5.12500000000000       1.897263705103641E-003	5.125    0.0019195382412765747552   
   5.15625000000000       1.892405098793177E-003	5.15625    0.0019144919766862057567   
   5.18750000000000       1.887533787046236E-003	5.1875    0.0019094331074531522058   
   5.21875000000000       1.882650131866739E-003	5.21875    0.0019043620003435242699   
   5.25000000000000       1.877754492390477E-003	5.25    0.0018992790200401761361   
   5.28125000000000       1.872847224827136E-003	5.28125    0.0018941845290327281294   
   5.31250000000000       1.867928682404780E-003	5.3125    0.0018890788875120456910   
   5.34375000000000       1.862999215317338E-003	5.34375    0.0018839624532691504874   
   5.37500000000000       1.858059170674349E-003	5.375    0.0018788355815985326605   
   5.40625000000000       1.853108892453018E-003	5.40625    0.0018736986252058273668   
   5.43750000000000       1.848148721454324E-003	5.4375    0.0018685519341198132766   
   5.46875000000000       1.843178995259883E-003	5.46875    0.0018633958556086856151   
   5.50000000000000       1.838200048192646E-003	5.5    0.0018582307341005515980   
   5.53125000000000       1.833212211280010E-003	5.53125    0.0018530569111080917511   
   5.56250000000000       1.828215812218686E-003	5.5625    0.0018478747251573265774   
   5.59375000000000       1.823211175343040E-003	5.59375    0.0018426845117204243540   
   5.62500000000000       1.818198621595538E-003	5.625    0.0018374866031524824743   
   5.65625000000000       1.813178468499165E-003	5.65625    0.0018322813286322116995   
   5.68750000000000       1.808151030133078E-003	5.6875    0.0018270690141064499293   
   5.71875000000000       1.803116617110155E-003	5.71875    0.0018218499822384296373   
   5.75000000000000       1.798075536556495E-003	5.75    0.0018166245523597209225   
   5.78125000000000       1.793028092094189E-003	5.78125    0.0018113930404257702013   
   5.81250000000000       1.787974583825267E-003	5.8125    0.0018061557589749528896   
   5.84375000000000       1.782915308318330E-003	5.84375    0.0018009130170910569844   
   5.87500000000000       1.777850558597675E-003	5.875    0.0017956651203691132478   
   5.90625000000000       1.772780624133532E-003	5.90625    0.0017904123708844867057   
   5.93750000000000       1.767705790835399E-003	5.9375    0.0017851550671651433850   
   5.96875000000000       1.762626341045931E-003	5.96875    0.0017798935041670056252   
   6.00000000000000       1.757542553539192E-003	6.    0.0017746279732523088932   
   6.03125000000000       1.752454703517967E-003	6.03125    0.0017693587621708727978   
   6.06250000000000       1.747363062614379E-003	6.0625    0.0017640861550441989326   
   6.09375000000000       1.742267898892666E-003	6.09375    0.0017588104323523082610   
   6.12500000000000       1.737169476852544E-003	6.125    0.0017535318709232309894   
   6.15625000000000       1.732068057434856E-003	6.15625    0.0017482507439250622389   
   6.18750000000000       1.726963898029012E-003	6.1875    0.0017429673208604973163   
   6.21875000000000       1.721857252481366E-003	6.21875    0.0017376818675637610000   
   6.25000000000000       1.716748371105630E-003	6.25    0.0017323946461998459689   
   6.28125000000000       1.711637500694626E-003	6.28125    0.0017271059152659763281   
   6.31250000000000       1.706524884533076E-003	6.3125    0.0017218159295952130957   
   6.34375000000000       1.701410762412103E-003	6.34375    0.0017165249403621195162   
   6.37500000000000       1.696295370645111E-003	6.375    0.0017112331950904051446   
   6.40625000000000       1.691178942084467E-003	6.40625    0.0017059409376624687953   
   6.43750000000000       1.686061706139700E-003	6.4375    0.0017006484083307616682   
   6.46875000000000       1.680943888796682E-003	6.46875    0.0016953558437308932376   
   6.50000000000000       1.675825712638040E-003	6.5    0.0016900634768964038204   
   6.53125000000000       1.670707396864304E-003	6.53125    0.0016847715372751291151   
   6.56250000000000       1.665589157317031E-003	6.5625    0.0016794802507470834240   
   6.59375000000000       1.660471206500699E-003	6.59375    0.0016741898396437897233   
   6.62500000000000       1.655353753608080E-003	6.625    0.0016689005227689862373   
   6.65625000000000       1.650237004544798E-003	6.65625    0.0016636125154206406856   
   6.68750000000000       1.645121161955281E-003	6.6875    0.0016583260294142049134   
   6.71875000000000       1.640006425249138E-003	6.71875    0.0016530412731070441681   
   6.75000000000000       1.634892990628652E-003	6.75    0.0016477584514239768640   
   6.78125000000000       1.629781051116655E-003	6.78125    0.0016424777658838622550   
   6.81250000000000       1.624670796585246E-003	6.8125    0.0016371994146271750310   
   6.84375000000000       1.619562413784768E-003	6.84375    0.0016319235924445074492   
   6.87500000000000       1.614456086373824E-003	6.875    0.0016266504908059412085   
   6.90625000000000       1.609351994949156E-003	6.90625    0.0016213802978912328742   
   6.93750000000000       1.604250317076918E-003	6.9375    0.0016161131986207582511   
   6.96875000000000       1.599151227323043E-003	6.96875    0.0016108493746871626927   
   7.00000000000000       1.594054897285652E-003	7.    0.0016055890045876659096   
   7.03125000000000       1.588961495626436E-003	7.03125    0.0016003322636569714083   
   7.06250000000000       1.583871188103141E-003	7.0625    0.0015950793241007322478   
   7.09375000000000       1.578784137602092E-003	7.09375    0.0015898303550295263387   
   7.12500000000000       1.573700504170826E-003	7.125    0.0015845855224932960359   
   7.15625000000000       1.568620445051620E-003	7.15625    0.0015793449895162082795   
   7.18750000000000       1.563544114714443E-003	7.1875    0.0015741089161318930272   
   7.21875000000000       1.558471664890388E-003	7.21875    0.0015688774594190191869   
   7.25000000000000       1.553403244605420E-003	7.25    0.0015636507735371687030   
   7.28125000000000       1.548339000214096E-003	7.28125    0.0015584290097629708720   
   7.31250000000000       1.543279075433475E-003	7.3125    0.0015532123165264603619   
   7.34375000000000       1.538223611376958E-003	7.34375    0.0015480008394476237828   
   7.37500000000000       1.533172746588069E-003	7.375    0.0015427947213731010075   
   7.40625000000000       1.528126617075058E-003	7.40625    0.0015375941024130087611   
   7.43750000000000       1.523085356344091E-003	7.4375    0.0015323991199778552977   
   7.46875000000000       1.518049095433869E-003	7.46875    0.0015272099088155162520   
   7.50000000000000       1.513017962949343E-003	7.5    0.0015220266010482429971   
   7.53125000000000       1.507992085095541E-003	7.53125    0.0015168493262096760533   
   7.56250000000000       1.502971585711427E-003	7.5625    0.0015116782112818372844   
   7.59375000000000       1.497956586303999E-003	7.59375    0.0015065133807320757743   
   7.62500000000000       1.492947206081172E-003	7.625    0.0015013549565499434113   
   7.65625000000000       1.487943561985894E-003	7.65625    0.0014962030582839773100   
   7.68750000000000       1.482945768729331E-003	7.6875    0.0014910578030783672785   
   7.71875000000000       1.477953938823845E-003	7.71875    0.0014859193057094875841   
   7.75000000000000       1.472968182616229E-003	7.75    0.0014807876786222732928   
   7.78125000000000       1.467988608320505E-003	7.78125    0.0014756630319664224497   
   7.81250000000000       1.463015322050529E-003	7.8125    0.0014705454736324063302   
   7.84375000000000       1.458048427852368E-003	7.84375    0.0014654351092872709327   
   7.87500000000000       1.453088027736526E-003	7.875    0.0014603320424102137888   
   7.90625000000000       1.448134221710074E-003	7.90625    0.0014552363743279210546   
   7.93750000000000       1.443187107807886E-003	7.9375    0.0014501482042496506992   
   7.96875000000000       1.438246782124726E-003	7.96875    0.0014450676293020484393   
   8.00000000000000       1.433313338845911E-003	8.    0.0014399947445636838707   
   8.03125000000000       1.428386870278685E-003	8.03125    0.0014349296430992950283   
   8.06250000000000       1.423467466882498E-003	8.0625    0.0014298724159937303563   
   8.09375000000000       1.418555217299621E-003	8.09375    0.0014248231523855778017   
   8.12500000000000       1.413650208384924E-003	8.125    0.0014197819395004714452   
   8.15625000000000       1.408752525236008E-003	8.15625    0.0014147488626840667669   
   8.18750000000000       1.403862251222394E-003	8.1875    0.0014097240054346762964   
   8.21875000000000       1.398979468014658E-003	8.21875    0.0014047074494355580329   
   8.25000000000000       1.394104255613346E-003	8.25    0.0013996992745868496316   
   8.28125000000000       1.389236692377610E-003	8.28125    0.0013946995590371419383   
   8.31250000000000       1.384376855052839E-003	8.3125    0.0013897083792146860233   
   8.34375000000000       1.379524818799298E-003	8.34375    0.0013847258098582284098   
   8.37500000000000       1.374680657218897E-003	8.375    0.0013797519240474697164   
   8.40625000000000       1.369844442382727E-003	8.40625    0.0013747867932331424377   
   8.43750000000000       1.365016244857877E-003	8.4375    0.0013698304872667040713   
   8.46875000000000       1.360196133733714E-003	8.46875    0.0013648830744296422640   
   8.50000000000000       1.355384176648279E-003	8.5    0.0013599446214623890965   
   8.53125000000000       1.350580439813732E-003	8.53125    0.0013550151935928420538   
   8.56250000000000       1.345784988042141E-003	8.5625    0.0013500948545644896370   
   8.59375000000000       1.340997884770454E-003	8.59375    0.0013451836666641399654   
   8.62500000000000       1.336219192085004E-003	8.625    0.0013402816907492510933   
   8.65625000000000       1.331448970746195E-003	8.65625    0.0013353889862748621237   
   8.68750000000000       1.326687280212413E-003	8.6875    0.0013305056113201245444   
   8.71875000000000       1.321934178663636E-003	8.71875    0.0013256316226144335383   
   8.75000000000000       1.317189723024882E-003	8.75    0.0013207670755631593332   
   8.78125000000000       1.312453968989082E-003	8.78125    0.0013159120242729789513   
   8.81250000000000       1.307726971039833E-003	8.8125    0.0013110665215768090039   
   8.84375000000000       1.303008782473418E-003	8.84375    0.0013062306190583404429   
   8.87500000000000       1.298299455421101E-003	8.875    0.0013014043670761764407   
   8.90625000000000       1.293599040870357E-003	8.90625    0.0012965878147875748071   
   8.93750000000000       1.288907588686395E-003	8.9375    0.0012917810101717965875   
   8.96875000000000       1.284225147632726E-003	8.96875    0.0012869840000530627007   
   9.00000000000000       1.279551765392001E-003	9.    0.0012821968301231206820   
   9.03125000000000       1.274887488586062E-003	9.03125    0.0012774195449634237922   
   9.06250000000000       1.270232362795877E-003	9.0625    0.0012726521880669249374   
   9.09375000000000       1.265586432581014E-003	9.09375    0.0012678948018594880150   
   9.12500000000000       1.260949741498887E-003	9.125    0.0012631474277209194680   
   9.15625000000000       1.256322332123480E-003	9.15625    0.0012584101060056229787   
   9.18750000000000       1.251704246064077E-003	9.1875    0.0012536828760628803790   
   9.21875000000000       1.247095523983426E-003	9.21875    0.0012489657762567619876   
   9.25000000000000       1.242496205615419E-003	9.25    0.0012442588439856697092   
   9.28125000000000       1.237906329783054E-003	9.28125    0.0012395621157015163478   
   9.31250000000000       1.233325934415196E-003	9.3125    0.0012348756269285446959   
   9.34375000000000       1.228755056563957E-003	9.34375    0.0012301994122817900593   
   9.37500000000000       1.224193732420911E-003	9.375    0.0012255335054851899719   
   9.40625000000000       1.219641997333771E-003	9.40625    0.0012208779393893449412   
   9.43750000000000       1.215099885822154E-003	9.4375    0.0012162327459889341405   
   9.46875000000000       1.210567431593384E-003	9.46875    0.0012115979564397900395   
   9.50000000000000       1.206044667557850E-003	9.5    0.0012069736010756360268   
   9.53125000000000       1.201531625844148E-003	9.53125    0.0012023597094244911394   
   9.56250000000000       1.197028337813929E-003	9.5625    0.0011977563102247460657   
   9.59375000000000       1.192534834076365E-003	9.59375    0.0011931634314409146358   
   9.62500000000000       1.188051144502452E-003	9.625    0.0011885811002790650562   
   9.65625000000000       1.183577298238946E-003	9.65625    0.0011840093432019351810   
   9.68750000000000       1.179113323722086E-003	9.6875    0.0011794481859437361439   
   9.71875000000000       1.174659248690937E-003	9.71875    0.0011748976535246487013   
   9.75000000000000       1.170215100200638E-003	9.75    0.0011703577702650166611   
